,file,z,normalized,norm_factor,norm_error,median_flux_1500A,window_at_1500A,points_within_window1500A,median_flux_1900A,window_at_1900A,points_within_window1900A,median_flux_5500A,window_at_5500A,points_within_window5500A
45,/content/LRDs/DeGraaff_espectros/macs0416-v4_prism-clear_1208_3104035.spec.fits,5.006783,True,9.511928860790137e-21,,4.435930049952179,300.0,17.0,2.5026292696378523,300.0,11.0,1.657376136295623,200.00000000000017,10.0
46,/content/LRDs/DeGraaff_espectros/macs0416-v4_prism-clear_1208_3104219.spec.fits,6.414142,True,1.3126868482838128e-20,,3.790355376220483,300.0,15.0,2.4590182343184743,300.0,11.0,0.8110408509416105,200.00000000000017,16.0
47,/content/LRDs/DeGraaff_espectros/macs0417-v4_prism-clear_1208_205006.spec.fits,5.621284,True,8.254596993160325e-21,,0.9179768921517026,300.0,15.0,0.9465789738733057,300.0,11.0,0.49976178836845914,200.00000000000017,13.0
48,/content/LRDs/DeGraaff_espectros/macs1423-v4_prism-clear_1208_4103248.spec.fits,5.774661,True,1.1284814318476728e-20,,4.729304860739699,300.0,15.0,3.4136499007077648,300.0,12.0,2.0247903929062563,200.00000000000017,13.0
49,/content/LRDs/DeGraaff_espectros/macs1423-v4_prism-clear_1208_4111584.spec.fits,4.0656843,True,6.626373469723195e-21,,7.754809243316607,300.0,21.0,3.3917120879978593,300.0,12.0,0.8032714179941456,200.00000000000017,7.0
50,/content/LRDs/DeGraaff_espectros/macsj0647-v4_prism-clear_1433_1045.spec.fits,4.5276384,True,4.7168133407453736e-20,,2.982986315693888,300.0,18.0,2.1305146543035796,300.0,11.0,0.6334832666514131,200.00000000000017,9.0
51,/content/LRDs/DeGraaff_espectros/nexus-obs3-v4_prism-clear_5105_10835.spec.fits,4.65012,True,1.1087881395363985e-20,,4.082686414930559,300.0,18.0,3.8634987631591278,300.0,12.0,3.017065082148779,200.00000000000017,9.0
52,/content/LRDs/DeGraaff_espectros/nexus-obs3-v4_prism-clear_5105_10868.spec.fits,4.38856,True,1.0882546243035837e-20,,6.857922309227692,300.0,19.0,2.563982466096291,300.0,11.0,4.322606663794808,200.00000000000017,9.0
53,/content/LRDs/DeGraaff_espectros/nexus-obs3-v4_prism-clear_5105_21941.spec.fits,3.67055,True,3.041705988967581e-20,,4.49449391443789,300.0,23.0,3.378605639920482,300.0,13.0,1.3375342634976124,200.00000000000017,6.0
54,/content/LRDs/DeGraaff_espectros/nexus-obs3-v4_prism-clear_5105_23192.spec.fits,4.52104729497047,True,5.3354515108782164e-20,,3.0169153832021243,300.0,18.0,2.388207284075234,300.0,11.0,4.207538679480679,200.00000000000017,9.0
55,/content/LRDs/DeGraaff_espectros/nexus-obs5-v4_prism-clear_5105_20152.spec.fits,2.86932,True,8.05964917059704e-20,,4.255633163246829,300.0,27.0,3.175830153585916,300.0,17.0,1.4222901415950038,200.00000000000017,5.0
56,/content/LRDs/DeGraaff_espectros/nexus-obs5-v4_prism-clear_5105_2314.spec.fits,4.42207,True,1.4801639388751344e-20,,4.747747078944167,300.0,19.0,3.3041054813158377,300.0,12.0,3.4082984979099153,200.00000000000017,8.0
57,/content/LRDs/DeGraaff_espectros/nexus-obs5-v4_prism-clear_5105_3713.spec.fits,3.21512,True,4.837038620901179e-20,,2.264598337542988,300.0,27.0,2.262099315123644,300.0,15.0,1.1370314503318983,200.00000000000017,5.0
58,/content/LRDs/DeGraaff_espectros/nexus-obs5-v4_prism-clear_5105_7712.spec.fits,5.86941,True,2.2698480815058688e-20,,3.065331229357157,300.0,15.0,3.1568353697230274,300.0,12.0,4.426403878067998,200.00000000000017,13.0
59,/content/LRDs/DeGraaff_espectros/rubies-egs51-v4_prism-clear_4233_926125.spec.fits,5.2878757,True,1.5427224478418463e-20,,2.217967405319353,300.0,16.0,1.6141999112450505,300.0,11.0,0.7208500406803525,200.00000000000017,11.0
60,/content/LRDs/DeGraaff_espectros/rubies-egs51-v4_prism-clear_4233_927271.spec.fits,6.788556,True,9.631580462853113e-21,,4.688547759418867,300.0,14.0,3.1579306981299906,300.0,12.0,0.8810230996614218,200.00000000000017,17.0
61,/content/LRDs/DeGraaff_espectros/rubies-egs52-v4_prism-clear_4233_29489.spec.fits,4.542522,True,7.459916907911285e-21,,8.799416434017434,300.0,18.0,2.4024939930217815,300.0,11.0,1.2575180725575936,200.00000000000017,9.0
62,/content/LRDs/DeGraaff_espectros/rubies-egs53-v4_prism-clear_4233_42046.spec.fits,5.2845182,True,3.9402339937741596e-20,,1.7772235957257951,300.0,16.0,1.4313835870692657,300.0,11.0,2.2769647921958507,200.00000000000017,11.0
63,/content/LRDs/DeGraaff_espectros/rubies-egs61-v4_prism-clear_4233_55604.spec.fits,6.988607,True,3.55454527754576e-20,,2.964921594494861,300.0,14.0,2.4342082879932696,300.0,13.0,2.244115604581941,200.00000000000017,18.0
